This file was created by CMPT_ME_RETS using the 201712 CRSP database.  It contains,,,,,,,,,,,,,,,,,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Negative (not used)  30%  40%  30%     5 Quintiles    10 Deciles,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of Jun.  The annual returns are from January,,,,,,,,,,,,,,,,,,,
to December.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  Value Weight Returns -- Monthly,,,,,,,,,,,,,,,,,,,
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,-99.99,-0.84,-1.37,0.06,-0.33,-1.26,-1.7,-1.42,0.22,-0.23,-0.43,-1.72,-0.89,-1.2,-2.07,-1.17,-1.56,-0.32,0.33
196308,-99.99,3.62,5.39,5.39,2.95,5,5.28,5.74,5.35,2.54,3.39,4.78,5.18,6.35,4.49,5.59,5.82,5.93,5.23
196309,-99.99,-1.27,-2.1,-1.18,-0.99,-1.83,-1.67,-2.17,-1.11,-0.19,-1.85,-1.75,-1.88,-1.9,-1.5,-2.67,-1.88,-2.08,-0.91
196310,-99.99,1.33,1.59,3.06,0.5,2.78,1.3,1.27,3.24,0.7,0.29,2.77,2.79,1,1.52,1.5,1.14,1.8,3.54
196311,-99.99,-1.5,-1.01,-0.48,-2.03,-1.26,-1.48,-0.28,-0.5,-2,-2.05,-0.6,-1.79,-1.22,-1.67,-0.18,-0.34,-0.21,-0.55
196312,-99.99,-1,1.37,2.34,-1.63,0.22,1.2,1.46,2.44,-2.31,-0.88,0.07,0.34,2.15,0.48,1.94,1.18,1.79,2.57
196401,-99.99,3.54,1.31,2.73,4.1,1.58,1.8,1.22,2.85,4.76,3.4,2.6,0.77,2.45,1.31,0.96,1.37,1.16,3.19
196402,-99.99,2.6,2.71,1.69,2.5,3.05,2.25,3.05,1.57,2.71,2.28,2.76,3.29,2.29,2.22,3.02,3.07,2.03,1.47
196403,-99.99,2.96,3.29,1.5,2.36,3.67,3.63,2.99,1.36,2.31,2.41,3.97,3.43,4.1,3.27,2.85,3.06,1.83,1.26
196404,-99.99,-0.47,-0.27,0.53,-0.35,-0.54,-0.72,-0.5,0.67,0.05,-0.78,-0.68,-0.42,-1.02,-0.49,0.28,-0.95,-0.52,0.91
196405,-99.99,1.02,1.74,1.68,0.49,2.35,1.14,2.12,1.64,0.77,0.19,1.89,2.73,1.38,0.95,2.04,2.17,0.99,1.76
196406,-99.99,1.15,1.49,1.56,1.16,1.21,1.47,1.41,1.59,1.25,1.07,1.13,1.28,0.95,1.87,1.58,1.31,1.45,1.61
196407,-99.99,3.32,2.19,1.98,3.13,2.61,2.5,2,1.98,3.76,2.37,3.65,1.8,1.81,2.98,1.99,2,3.45,1.69
196408,-99.99,-0.63,-0.85,-1.19,-0.64,-1.24,-0.85,-0.09,-1.31,-0.43,-0.9,-0.62,-1.74,-0.67,-0.98,-0.52,0.15,-1.32,-1.3
196409,-99.99,3.94,3.25,2.91,4.51,2.99,2.94,3.77,2.83,5.09,3.8,2.94,3.02,2.84,3,3.69,3.82,3.19,2.75
196410,-99.99,1.85,1.67,0.72,2.29,1.2,2.17,1.58,0.63,2.68,1.8,1.07,1.31,1.49,2.64,1.22,1.78,0.76,0.6
196411,-99.99,0.33,0.04,0.31,0.17,-0.61,0.54,0.14,0.32,0.1,0.26,0.61,-1.58,0.15,0.81,0.04,0.19,0.26,0.33
196412,-99.99,-1.59,-0.35,0.48,-1.94,-0.35,-0.47,-0.36,0.56,-1.71,-2.22,-0.97,0.15,-0.24,-0.62,-0.39,-0.34,-0.23,0.71
196501,-99.99,7.15,5.58,3.55,7.55,6.35,5.67,5.5,3.37,8.44,6.44,6.43,6.29,5.46,5.8,5.23,5.65,4.62,3.12
196502,-99.99,3.21,3.4,0.3,2.95,3.95,3.73,2.79,0.08,3.22,2.6,3.69,4.15,4.6,3.16,2.74,2.82,2.59,-0.43
196503,-99.99,1.9,0.17,-1.27,2.35,0.29,0.51,-0.07,-1.38,2.3,2.41,1.11,-0.36,0.69,0.39,-0.04,-0.09,-0.58,-1.55
196504,-99.99,4.3,4.03,3.27,4.73,4.25,4.02,3.51,3.26,5.15,4.19,3.53,4.84,4.8,3.5,3.75,3.37,2.76,3.36
196505,-99.99,-0.93,-0.54,-0.35,-0.77,-0.78,-0.4,-0.83,-0.3,-0.13,-1.59,-1.23,-0.41,-0.55,-0.3,-0.75,-0.87,-0.42,-0.27
196506,-99.99,-9.4,-8.13,-4.54,-9.81,-8.84,-8.08,-7.51,-4.29,-9.74,-9.92,-8.63,-9.01,-8.18,-8.01,-7.86,-7.31,-5.84,-3.96
196507,-99.99,3.13,3.14,1.5,2.96,3.5,3.39,3.25,1.32,2.64,3.42,3.47,3.53,3.21,3.52,2.74,3.56,2.33,1.11
196508,-99.99,4.21,5.14,2.78,4.22,4.75,6.08,4.21,2.65,4.1,4.38,4.21,5.15,7.41,5.16,4.08,4.29,3.47,2.48
